...1,spp_code,spp_name_WP,family_WP,order_apg4,clade,VD_minor,VD_medium,VD_major,MST_minor,MST_medium,MST_major,ER_minor,ER_medium,ER_major,LMA,SWP_M,SWP_L,SWS_M,SWS_L,e_W,e_L,Dkleaf_M,Dkleaf_L,Dkleaf_mean,Phe,Kleaf_max,P50,P88,ISI,clade2
66,Lon_jap,Lonicera japonica,Caprifoliaceae,Dipsacales,asterids,3.419990875,1.413029723,0.252445149,0.71392333,0.906725931,0.9689784855,0.5909868725,1.1537057635,1.50669807,48.61,76.27,170.3,325.21,6525.94,NA,NA,-91.93,-97.54,-94.735,1.48,12.78,NA,NA,0.33,6
67,Luz_niv,Luzula nivea,Juncaceae,Poales,monocots,0,3.737758842,0.176229349,0,0.773963652,1,0,67.338127735,25.581306385,93.22,NA,333.32,NA,6999.55,467.62,NA,NA,-70.54,NA,2.61,12.87,NA,NA,0.43,3
68,Mag_che,Magnolia chevalieri,Magnoliaceae,Magnoliales,basal angiosperms,1.249364483,0.0789758535,0.052434956,0.849400476,0.93239066,0.98548262,1.045632178,4.0305136345,2.415951498,93.62,361.01,63.49,2524.91,5771.59,9.79,NA,-97.17,-97.46,-97.315,1.75,34.83,0.73,1.96,0.27,2
69,Mal_pal,Malacothamnus palmeri,Malvaceae,Malvales,rosids,5.9686432505,0.817727577,0.1052014585,0.659777592,0.933792171,1,0.618344571,0.778429076,0.0880881535,100.94,7.7,25.63,83.35,731.72,0.12,NA,-93.84,-92.73,-93.285,1.57,4.73,NA,NA,0.5,5
70,Mel_maj,Melianthus major,Francoaceae,Geraniales,rosids,5.043479822,0.1157243625,0.065289364,0.678345551,0.95448552,0.990930774,0.6739367005,1.310979906,1.313904122,86.55,370.18,64.46,804.79,13784.6,8.67,NA,-79.58,5.23,-37.175,7,1.18,NA,NA,0.23,5
71,Met_dav,Metapanax davidii,Araliaceae,Apiales,asterids,0.9861331095,0.2906099205,0.036658939,0.8001522525,0.955253297,1,0.910552515,1.400177527,1.355668002,99.04,224.47,151.45,688.75,5196.97,9.25,26.62,-35.56,-5.56,-20.56,0.85,1.12,0.56,1.96,0.34,6
72,Mic_mul,Miconia multiplinervia,Melastomataceae,Myrtales,rosids,1.436221298,0.697147646,0.336082425,0.809101291,0.883661376,0.9699859255,0.76220125,0.88534359,1.061770091,45.64,119.33,119.31,480.59,9266.65,4.43,NA,-88.02,-56.83,-72.425,6.16,1.36,NA,NA,0.26,5
73,Mic_pla,Microlepia platyphylla,Dennstaedtiaceae,Polypodiales,ferns,1.346741688,1.3109846775,0.6520260745,0.95345671,0.9592888925,0.9697736675,3.205997917,3.206469582,3.238493655,84.72,253.04,204.7,368.47,8601.36,NA,NA,-84.17,-94.05,-89.11,2.83,0.86,0.75,2.3,0.36,1
74,Mon_car,Montinia caryophyllacea,Montiniaceae,Solanales,asterids,3.553241716,1.125907974,0.2057169305,0.699592662,0.899165655,0.9650412095,0.768525889,2.691215282,1.261531324,56.03,218.28,218.15,731.59,2453.54,NA,NA,NA,NA,NA,4.41,4.86,NA,NA,0.39,6
75,Myr_rub,Morella rubra,Myricaceae,Fagales,rosids,3.558433651,0.176476788,0.067211007,0.670224064,0.990580843,0.9956951355,0.625004792,4.764981116,2.4146229345,137.72,406.47,197.96,1536.5,5473.72,1.19,NA,-92.69,-95.53,-94.11,4.39,10.19,NA,NA,0.31,5
